20,B8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.722,24.826,0.144,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.988,N,N,N,N,N
20,B8,FALSE,Ful,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.782,0.549,1.114,28.907,28.792,0.104,4.185,3.967,0.206,0.119,0.355,TRUE,0.294,TRUE,3,23,Amp,,0.991,N,N,N,N,N
21,B9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.766,24.826,0.144,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.986,N,N,N,N,N
21,B9,FALSE,Ful,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,0.782,0.549,1.114,28.705,28.792,0.104,3.939,3.967,0.206,0.119,0.355,TRUE,0.294,TRUE,3,23,Amp,,0.989,N,N,N,N,N
22,B10,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.940,25.214,0.510,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.991,N,N,N,Y,N
22,B10,FALSE,Laso,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.152,0.800,1.659,28.548,28.621,0.337,3.608,3.407,0.212,0.122,-0.205,TRUE,0.294,TRUE,3,22,Amp,,0.992,N,N,N,N,N
23,B11,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.803,25.214,0.510,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.989,N,N,N,Y,N
23,B11,FALSE,Laso,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.152,0.800,1.659,28.988,28.621,0.337,3.186,3.407,0.212,0.122,-0.205,TRUE,0.294,TRUE,3,23,Amp,,0.990,N,N,N,N,N
24,B12,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.899,25.214,0.510,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.987,N,N,N,Y,N
24,B12,FALSE,Laso,BCL2,UNKNOWN,FAM,NFQ-MGB,,,,1.152,0.800,1.659,28.327,28.621,0.337,3.428,3.407,0.212,0.122,-0.205,TRUE,0.294,TRUE,3,22,Amp,,0.991,N,N,N,N,N
25,C1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.856,25.448,0.441,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.986,N,N,N,N,N
25,C1,FALSE,Veh,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.808,1.238,35.059,34.578,0.445,9.203,9.130,0.124,0.072,0.000,TRUE,0.199,TRUE,3,30,Amp,,0.990,N,N,N,N,N
26,C2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.981,25.448,0.441,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.983,N,N,N,N,N
26,C2,FALSE,Veh,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.808,1.238,34.181,34.578,0.445,9.201,9.130,0.124,0.072,0.000,TRUE,0.199,TRUE,3,29,Amp,,0.994,N,N,N,N,N
27,C3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.507,25.448,0.441,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.990,N,N,N,N,N
27,C3,FALSE,Veh,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.808,1.238,34.494,34.578,0.445,8.987,9.130,0.124,0.072,0.000,TRUE,0.199,TRUE,3,30,Amp,,0.994,N,N,N,N,N
28,C4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.893,25.561,0.552,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.984,N,N,N,Y,N
28,C4,FALSE,E2,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.935,0.592,1.478,34.946,34.788,0.287,9.053,9.227,0.266,0.154,0.097,TRUE,0.199,TRUE,3,30,Amp,,0.996,N,N,N,N,N
29,C5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.866,25.561,0.552,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.991,N,N,N,Y,N
29,C5,FALSE,E2,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.935,0.592,1.478,34.961,34.788,0.287,9.094,9.227,0.266,0.154,0.097,TRUE,0.199,TRUE,3,30,Amp,,0.992,N,N,N,N,N
30,C6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.924,25.561,0.552,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.985,N,N,N,Y,N
30,C6,FALSE,E2,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.935,0.592,1.478,34.457,34.788,0.287,9.533,9.227,0.266,0.154,0.097,TRUE,0.199,TRUE,3,30,Amp,,0.995,N,N,N,N,N
31,C7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.082,24.785,0.259,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.983,N,N,N,N,N
31,C7,FALSE,Ful,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.776,0.487,1.236,34.339,34.281,0.153,9.257,9.496,0.270,0.156,0.366,TRUE,0.199,TRUE,3,29,Amp,,0.995,N,N,N,N,N
32,C8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.667,24.785,0.259,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.984,N,N,N,N,N
32,C8,FALSE,Ful,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.776,0.487,1.236,34.108,34.281,0.153,9.441,9.496,0.270,0.156,0.366,TRUE,0.199,TRUE,3,29,Amp,,0.992,N,N,N,N,N
33,C9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.607,24.785,0.259,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.969,N,N,N,N,N
33,C9,FALSE,Ful,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.776,0.487,1.236,34.396,34.281,0.153,9.790,9.496,0.270,0.156,0.366,TRUE,0.199,TRUE,3,30,Amp,,0.995,N,N,N,N,N
34,C10,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.192,25.311,0.426,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.984,N,N,N,N,N
34,C10,FALSE,Laso,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.764,0.494,1.182,34.906,34.829,0.605,9.714,9.518,0.253,0.146,0.388,TRUE,0.199,TRUE,3,30,Amp,,0.993,N,N,N,Y,N
