22,B10,FALSE,E2,MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.936,0.682,5.499,25.727,25.844,0.284,9.120,9.258,0.606,0.350,-0.953,TRUE,0.182,TRUE,3,21,Amp,,0.996,N
23,B11,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.904,16.586,0.329,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.971,N
23,B11,FALSE,E2,MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.936,0.682,5.499,25.636,25.844,0.284,8.732,9.258,0.606,0.350,-0.953,TRUE,0.182,TRUE,3,20,Amp,,0.995,N
24,B12,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.247,16.586,0.329,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.975,N
24,B12,FALSE,E2,MYC,UNKNOWN,FAM,NFQ-MGB,,,,1.936,0.682,5.499,26.168,25.844,0.284,9.921,9.258,0.606,0.350,-0.953,TRUE,0.182,TRUE,3,21,Amp,,0.994,N
25,C1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.273,19.930,0.538,,,,,,TRUE,0.151,TRUE,3,15,Amp,,0.978,Y
25,C1,FALSE,Veh,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.809,1.237,33.123,32.643,0.587,12.850,12.714,0.123,0.071,0.000,TRUE,0.299,TRUE,3,27,Amp,,0.988,Y
26,C2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.207,19.930,0.538,,,,,,TRUE,0.151,TRUE,3,15,Amp,,0.975,Y
26,C2,FALSE,Veh,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.809,1.237,32.818,32.643,0.587,12.611,12.714,0.123,0.071,0.000,TRUE,0.299,TRUE,3,27,Amp,,0.991,Y
27,C3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.309,19.930,0.538,,,,,,TRUE,0.151,TRUE,3,14,Amp,,0.975,Y
27,C3,FALSE,Veh,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.809,1.237,31.989,32.643,0.587,12.679,12.714,0.123,0.071,0.000,TRUE,0.299,TRUE,3,26,Amp,,0.992,Y
28,C4,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,15.973,16.745,0.771,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.980,Y
28,C4,FALSE,Laso,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,18.478,11.936,28.606,24.229,25.251,1.025,8.256,8.506,0.254,0.147,-4.208,TRUE,0.299,TRUE,3,19,Amp,,0.993,Y
29,C5,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.747,16.745,0.771,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.975,Y
29,C5,FALSE,Laso,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,18.478,11.936,28.606,25.244,25.251,1.025,8.497,8.506,0.254,0.147,-4.208,TRUE,0.299,TRUE,3,19,Amp,,0.993,Y
30,C6,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.515,16.745,0.771,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.971,Y
30,C6,FALSE,Laso,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,18.478,11.936,28.606,26.279,25.251,1.025,8.764,8.506,0.254,0.147,-4.208,TRUE,0.299,TRUE,3,21,Amp,,0.993,Y
31,C7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.658,16.509,0.170,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.977,N
31,C7,FALSE,Ful,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,16.912,16.188,17.668,25.320,25.143,0.186,8.662,8.634,0.025,0.015,-4.080,TRUE,0.299,TRUE,3,20,Amp,,0.994,N
32,C8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.545,16.509,0.170,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.969,N
32,C8,FALSE,Ful,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,16.912,16.188,17.668,25.158,25.143,0.186,8.613,8.634,0.025,0.015,-4.080,TRUE,0.299,TRUE,3,19,Amp,,0.993,N
33,C9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.325,16.509,0.170,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.973,N
33,C9,FALSE,Ful,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,16.912,16.188,17.668,24.950,25.143,0.186,8.625,8.634,0.025,0.015,-4.080,TRUE,0.299,TRUE,3,19,Amp,,0.996,N
34,C10,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.088,16.507,0.504,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.965,Y
34,C10,FALSE,E2,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,14.614,11.566,18.466,26.089,25.351,0.639,9.001,8.844,0.136,0.078,-3.869,TRUE,0.299,TRUE,3,20,Amp,,0.992,Y
35,C11,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.232,16.507,0.504,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.974,Y
35,C11,FALSE,E2,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,14.614,11.566,18.466,24.988,25.351,0.639,8.757,8.844,0.136,0.078,-3.869,TRUE,0.299,TRUE,3,19,Amp,,0.996,Y
36,C12,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.200,16.507,0.504,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.978,Y
36,C12,FALSE,E2,FOXM1,UNKNOWN,FAM,NFQ-MGB,,,,14.614,11.566,18.466,24.975,25.351,0.639,8.775,8.844,0.136,0.078,-3.869,TRUE,0.299,TRUE,3,19,Amp,,0.995,Y
37,D1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.024,17.171,0.144,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.979,N
37,D1,FALSE,Veh,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.905,1.105,27.818,27.915,0.088,10.794,10.744,0.058,0.034,0.000,TRUE,0.330,TRUE,3,22,Amp,,0.994,N
38,D2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.311,17.171,0.144,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.976,N
38,D2,FALSE,Veh,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.905,1.105,27.991,27.915,0.088,10.680,10.744,0.058,0.034,0.000,TRUE,0.330,TRUE,3,22,Amp,,0.996,N
39,D3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.178,17.171,0.144,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.974,N
